Var,Type,LowerBound,UpperBound,GLB,GUB
t_x29,BINARY,-0.0,1.0,1.0,-0.0
t_x1,BINARY,1.0,1.0,1.0,-0.0
t_x2,BINARY,1.0,1.0,1.0,-0.0
t_x3,BINARY,1.0,1.0,1.0,-0.0
t_x4,BINARY,1.0,1.0,1.0,-0.0
t_x5,BINARY,1.0,1.0,1.0,-0.0
t_x6,BINARY,1.0,1.0,1.0,-0.0
t_x7,BINARY,-0.0,0.0,1.0,-0.0
t_x8,BINARY,1.0,1.0,1.0,-0.0
t_x9,BINARY,-0.0,1.0,1.0,-0.0
t_x10,BINARY,1.0,1.0,1.0,-0.0
t_x11,BINARY,1.0,1.0,1.0,-0.0
t_x12,BINARY,1.0,1.0,1.0,-0.0
t_x13,BINARY,1.0,1.0,1.0,-0.0
t_x14,BINARY,-0.0,0.0,1.0,-0.0
t_x15,BINARY,-0.0,0.0,1.0,-0.0
t_x16,BINARY,-0.0,1.0,1.0,-0.0
t_x17,BINARY,1.0,1.0,1.0,-0.0
t_x18,BINARY,-0.0,1.0,1.0,-0.0
t_x19,BINARY,-0.0,1.0,1.0,-0.0
t_x20,BINARY,-0.0,1.0,1.0,-0.0
t_x21,BINARY,-0.0,0.0,1.0,-0.0
t_x22,BINARY,-0.0,1.0,1.0,-0.0
t_x23,BINARY,-0.0,1.0,1.0,-0.0
t_x24,BINARY,-0.0,1.0,1.0,-0.0
t_x25,BINARY,-0.0,1.0,1.0,-0.0
t_x26,BINARY,-0.0,1.0,1.0,-0.0
t_x27,BINARY,-0.0,0.0,1.0,-0.0
t_x28,BINARY,-0.0,1.0,1.0,-0.0
t_x30,BINARY,-0.0,1.0,1.0,-0.0
